|id|name
0|0|Unknown
1|1|PremillDrush
2|2|PostmillDrush
3|3|AnyDrush
4|256|Maa
5|257|PremillDrushMaa
6|258|PostmillDrushMaa
7|512|FeudalArcherOpening
8|1024|FeudalScoutOpening
9|2048|FeudalSkirmOpening
10|4096|FeudalArcherFollowup
11|4097|PremillDrushArchers
12|4098|PostmillDrushArchers
13|4352|MaaArchers
14|5120|ScoutsArchers
15|8192|FeudalScoutFollowup
16|8193|PremillDrushScouts
17|8194|PostmillDrushScouts
18|8448|MaaScouts
19|16384|FeudalSkirmFollowup
20|16385|PremillDrushSkirms
21|16386|PostmillDrushSkirms
22|16640|MaaSkirms
23|17408|ScoutsSkirms
24|32768|FeudalTowers
25|33024|MaaTowers
26|65536|FeudalEagles
27|65792|MaaEagles
28|1048576|FastCastle
29|1048577|PremillDrushFC
30|1048578|PostmillDrushFC
31|2097152|CastleCrossbows
32|4194304|CastleKnights
33|8388608|CastleSiege
34|16777216|CastleEliteSkirm
35|33554432|CastlePikemen
36|67108864|CastleEagles
37|134217728|CastleCamels
38|268435456|CastleUU
39|2147483648|Unused
40|4294967295|DidNothing
