|id|name|elo|rank|url|voobly_id|steam_id|first_series_timestamp|first_series_time|peak_timestamp|peak_time|peak_elo|inactive|retired|series_played|series_won|games_played|tournaments_played|tournaments_list
0|767|000189AKM|1894|999|https://aoe-elo.com/player/767/000189AKM|||1036454399.0|Nov 2002|1036454399.0|Nov 2002|1896|True|True|4|1|4|1|[136]
1|777|000201AKM|1886|999|https://aoe-elo.com/player/777/000201AKM|||1036454399.0|Nov 2002|1036454399.0|Nov 2002|1897|True|True|4|0|4|1|[136]
2|763|000934AKM|1882|999|https://aoe-elo.com/player/763/000934AKM|||1036454399.0|Nov 2002|1036454399.0|Nov 2002|1896|True|True|5|0|5|1|[136]
3|259|2scareD|1957|999|https://aoe-elo.com/player/259/2scareD|||1049500800.0|Apr 2003|1049500800.0|Apr 2003|1996|True|True|31|11|84|16|[86, 110, 114, 115, 116, 117, 119, 121, 123, 124, 125, 126, 127, 157, 264, 285]
4|451|31_|1886|999|https://aoe-elo.com/player/451/31-|||1267833600.0|Mar 2010|1267833600.0|Mar 2010|1893|True|True|2|0|10|1|[86]
5|843|3nvY|1897|999|https://aoe-elo.com/player/843/3nvY|||1039564799.0|Dec 2002|1039564799.0|Dec 2002|1897|True|True|1|0|1|1|[137]
6|466|7DeMonS|1902|999|https://aoe-elo.com/player/466/7DeMonS|||1075766399.0|Feb 2004|1075766399.0|Feb 2004|1904|True|True|3|1|7|2|[126, 127]
7|56|8th_wonder|1991|999|https://aoe-elo.com/player/56/8th-wonder|123737920.0||1307923200.0|Jun 2011|1442707200.0|Sep 2015|2039|True|True|30|11|101|10|[15, 19, 21, 29, 62, 65, 80, 84, 85, 103]
8|1129|a220541515|1900|999|https://aoe-elo.com/player/1129/a220541515|||||||1900|False|False|0|0|0|0|[]
9|561|aaiioo|1900|999|https://aoe-elo.com/player/561/aaiioo|||||||1900|False|False|0|0|0|0|[]
10|844|AA_NiKe__|1898|999|https://aoe-elo.com/player/844/AA-NiKe--|||1039564799.0|Dec 2002|1039564799.0|Dec 2002|1898|True|True|1|0|1|1|[137]
11|515|Abe|1972|999|https://aoe-elo.com/player/515/Abe|||1075766399.0|Feb 2004|1120435200.0|Jul 2005|2006|True|True|8|2|24|5|[114, 115, 127, 157, 158]
12|1254|AboKeiTo|1882|999|https://aoe-elo.com/player/1254/AboKeiTo|||1656547200.0|Jun 2022|1656547200.0|Jun 2022|1912|False|False|6|1|16|2|[407, 487]
13|519|Abu|1897|999|https://aoe-elo.com/player/519/Abu|||1200268799.0|Jan 2008|1217635200.0|Aug 2008|1915|True|True|4|1|13|2|[157, 162]
14|440|abyss|1897|999|https://aoe-elo.com/player/440/abyss|||983750399.0|Mar 2001|983750399.0|Mar 2001|1897|True|True|1|0|1|1|[149]
15|14|ACCM|2345|2|https://aoe-elo.com/player/14/ACCM|123591487.0||1376179200.0|Aug 2013|1665792000.0|Oct 2022|2349|False|False|387|249|1228|113|[2, 3, 4, 8, 9, 12, 14, 19, 24, 26, 30, 32, 34, 36, 37, 40, 47, 56, 61, 62, 66, 75, 88, 91, 93, 94, 96, 101, 103, 104, 150, 153, 155, 163, 165, 167, 169, 172, 180, 181, 190, 193, 195, 196, 197, 208, 213, 214, 216, 219, 223, 225, 226, 227, 228, 231, 237, 239, 241, 243, 247, 249, 253, 254, 262, 265, 267, 295, 299, 305, 307, 310, 315, 317, 318, 319, 321, 324, 330, 336, 338, 345, 349, 351, 353, 358, 359, 360, 366, 373, 376, 381, 382, 383, 385, 387, 389, 390, 391, 392, 393, 394, 395, 401, 403, 405, 406, 469, 471, 474, 476, 477, 489]
16|1147|Acuo|1905|999|https://aoe-elo.com/player/1147/Acuo|||1627603200.0|Jul 2021|1628985600.0|Aug 2021|1913|True|False|5|3|5|1|[316]
17|76|Adham|1952|186|https://aoe-elo.com/player/76/Adham|||1545782399.0|Dec 2018|1596758400.0|Aug 2020|1992|False|False|17|4|45|14|[9, 177, 213, 237, 238, 268, 290, 293, 313, 319, 381, 469, 472, 484]
18|863|Adojegue|1896|999|https://aoe-elo.com/player/863/Adojegue|||1605312000.0|Nov 2020|1605312000.0|Nov 2020|1896|True|True|1|0|2|1|[231]
19|919|aenima|1886|999|https://aoe-elo.com/player/919/aenima|||1167609600.0|Jan 2007|1167609600.0|Jan 2007|1901|True|True|2|0|10|1|[90]
20|804|Aeolus|1898|999|https://aoe-elo.com/player/804/Aeolus|||1596758400.0|Aug 2020|1596758400.0|Aug 2020|1898|True|True|1|0|2|1|[213]
21|687|Aftermath|1896|999|https://aoe-elo.com/player/687/Aftermath|||1082851200.0|Apr 2004|1082851200.0|Apr 2004|1896|True|True|1|0|1|1|[125]
22|204|AI|1899|999|https://aoe-elo.com/player/204/AI|||1320019200.0|Oct 2011|1320019200.0|Oct 2011|1906|True|True|4|1|4|1|[100]
23|252|air3312|1893|999|https://aoe-elo.com/player/252/air3312|||1235865600.0|Mar 2009|1235865600.0|Mar 2009|1897|True|True|2|0|7|1|[109]
24|516|Air_feeling|2003|999|https://aoe-elo.com/player/516/Air-feeling|||1200268799.0|Jan 2008|1200268799.0|Jan 2008|2023|True|True|8|4|39|2|[157, 162]
25|935|AkeNo|1876|999|https://aoe-elo.com/player/935/AkeNo|||1499385600.0|Jul 2017|1499385600.0|Jul 2017|1894|True|True|4|0|8|4|[256, 257, 258, 259]
26|295|Akhorahil|1894|999|https://aoe-elo.com/player/295/Akhorahil|||1115510399.0|May 2005|1115510399.0|May 2005|1897|True|True|2|0|4|2|[113, 118]
27|346|Akire|1898|999|https://aoe-elo.com/player/346/Akire|||1069027199.0|Nov 2003|1069027199.0|Nov 2003|1898|True|True|1|0|1|1|[129]
28|1132|Albis|1898|999|https://aoe-elo.com/player/1132/Albis|||1626307200.0|Jul 2021|1627084800.0|Jul 2021|1898|True|False|2|1|5|1|[311]
